Elevation,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Horizontal_Distance_To_Fire_Points
2870,18,30,9,5531,184,206,830
2419,34,108,47,674,113,187,926
2895,5,212,44,2617,223,228,2658
3115,17,1050,246,2754,195,204,1727
3249,11,258,94,1443,191,227,2888
3322,14,190,52,5704,186,224,757
2997,20,192,45,1019,249,209,1129
2978,8,162,-21,3746,201,232,1358
2782,7,150,26,1868,231,230,1822
3006,22,942,123,3051,243,232,1615
2869,15,360,50,1578,230,208,2799
2411,15,30,1,997,244,221,1142
2753,15,30,4,424,240,237,2659
3033,6,150,7,1072,228,230,2324
2964,13,503,151,2866,206,212,1579
2857,15,190,99,3837,237,239,5549
3236,7,60,1,2605,230,239,1154
3212,23,391,134,324,243,232,2951
3136,14,342,98,272,239,215,1682
2614,11,485,36,1471,220,215,1773
3283,9,537,177,4320,198,244,1199
3232,10,541,78,1342,237,229,2270
3313,10,997,197,1593,206,221,2866
3317,26,531,136,1554,250,219,1134
3163,4,391,56,5396,219,243,451
3249,8,644,35,1900,204,228,552
2941,15,134,24,693,192,215,1884
3287,3,0,0,4061,219,232,3740
3222,34,67,33,2455,135,165,2831
2959,10,960,193,2536,203,222,840
3168,13,277,66,1302,203,213,342
2738,7,335,35,2334,226,225,5643
2388,13,242,97,1222,242,231,1041
2715,8,30,6,1860,202,230,4248
2529,8,390,159,967,205,228,1376
2498,7,42,1,1749,223,244,859
3126,16,95,20,3324,246,226,3144
2741,17,210,51,1739,245,229,2316
2834,10,242,33,1347,221,219,1998
3041,5,150,14,6457,227,238,3029
2514,9,30,5,990,232,224,1739
3250,13,824,49,2045,196,218,601
3135,6,60,7,4941,226,228,2764
2656,24,0,0,1438,243,190,1050
2988,11,124,19,3215,189,232,1972
2521,21,277,78,927,237,195,1052
3148,16,256,1,2535,179,247,466
2668,23,240,57,2024,164,202,2475
2744,13,120,29,1116,232,214,2225
3407,7,616,174,2081,233,233,1583
2926,12,190,33,4425,237,237,6322
2965,6,573,69,6049,205,242,5873
3205,7,541,92,3463,222,225,3486
2580,20,192,52,918,195,254,1452
3139,9,553,64,1784,207,223,2672
3188,4,351,12,4832,209,241,2424
3042,2,297,34,2605,217,235,947
2155,25,30,13,1121,184,182,459
3185,6,330,53,1062,211,245,1860
2901,9,0,0,1365,231,223,2486
2801,17,60,13,1224,209,203,2987
3049,25,420,-19,1074,170,186,3399
2315,14,395,172,1082,244,225,424
3433,16,376,140,2362,207,203,2489
3153,20,366,75,277,250,219,3747
3198,12,190,14,95,187,238,1828
2463,20,90,15,636,164,219,664
2896,5,192,-3,4687,225,230,1606
3201,15,180,26,3359,238,212,4643
3237,15,671,30,1719,207,207,2792
3168,6,351,16,5237,231,232,2619
3116,13,459,57,630,230,214,1195
2785,13,162,14,2830,213,212,2244
3192,7,0,0,2248,227,226,942
2744,8,60,13,2580,234,230,6557
2720,12,67,-14,1565,233,216,1041
2761,23,426,132,2576,251,217,2086
3421,11,509,53,1924,189,232,551
3139,4,242,25,5467,226,233,626
2772,20,201,23,1215,233,195,2281
3031,6,212,7,6207,230,230,3396
2265,21,408,122,636,181,198,153
3309,26,85,17,1115,153,193,1455
3102,6,30,5,324,205,233,2121
2587,11,201,42,642,217,217,992
2931,2,0,0,5612,223,237,1539
3011,23,677,142,2457,192,187,2105
2846,11,60,22,2100,190,241,1092
3197,0,240,36,1136,219,238,2028
2952,9,390,46,5694,197,245,2424
3033,14,362,66,616,183,226,571
3144,9,108,8,2285,206,225,2629
3019,6,30,5,1103,214,246,1803
2919,7,30,0,2838,211,226,1140
3218,5,485,36,4351,229,236,2663
2898,23,127,58,180,234,186,1215
2796,31,190,93,1635,151,248,1590
2928,14,153,15,5101,187,249,1611
